79
--¦W¦r-------Åé¤O---ªk¤O---§ðÀ»----¨¾Å@-----³t«×----°]Ä_---¯S§O-¹ÏÀÉ--
¥¬¤B©Ç         40     10     10      10       10     100  11101    1
¤òÂÎ©Ç         50     10     10      10       10     100  11101    2
¥vµÜ©i         55     10     15      40       10     150  11000    3
¯B´å©Ç         60     20     20      20       20     150  11101    4
º_¾ð©Ç         60     20     20      20       20     150  11101    5
ºô¸ôÅ]         60     20     30      30       30     200  01111    6
Ä¨Û£¤p©Ç       80     40     50      35       60     250  11110    7
¬rÃÈ           85     30     80      90       80     500  10111    8
´cª¯           90     50     75      70       60     550  11010    9
¥¨¤j³L°C©Ç    100     50     75      75       60     550  11111    10
¤g¼·¹«        100     50     75      75       60     550  11111    11
¬õ²´°­¿ß      130     50     75      90       70     500  11011    12
µµ¦âÅ]ÃT      140     60     80      80       80     550  10101    13
©Çª«Á­½¸      150     70     85      70       67     500  11110    14
»jµïºë        180     50     90      90       80     850  00111    15
¦Çºµ©Ç        180     50     90      90       80     850  00111    16
¥¨ÃÇ©Ç        180     50     90      90       80     850  00111    17
¥¨°©Ã~        180     50     90      90       80     850  00111    18
­¹¤H§Å®v      175    100    100      80       60     800  11010    19
¥¬­C¾|        240     80    110     100       70     800  00111    20
¤jºl©Ç        240     80    110     100       70     800  00111    21
¥Õ¦â´cÅ]      250     60    120     110       80     900  01011    22
¦º¯«Å]        280     80    150     120       90    1200  00011    23
¤p´cÅ]        290     80    150     120       90    1200  00011    24
¤j®£Às        300     50    160     120       90    1500  11001    25
¼ÉÀs          300     50    160     120       90    1500  11001    26
¥Û¹³»h»i©Ç    350     50    160     120       90    1500  11001    27
¶À¸Á©Ç        400     50    160     120       90    1500  11001    28
¦aº»¦uªù¤ü    430     50    160     120       90    1500  11001    29
µæ¤M©Ç        450     50    160     120       90    1500  11001    30
¶W¯Å¼Q¤õÀs    500    100    250     250      150    1500  11000    31
¥¨´ßÂÎ        550    400    350     400      250    2000  00110    32
¾uÅ\\ÀY©Ç     600    400    350     400      250    2000  00110    33
Âû³D©Ç        650    500    600     900      500    2000  10011    34
ªü±j¤@¸¹      700    500    600     900      500    2000  10011    35
­±¨ã©Ç¤H      700    500    800     850      300    2000  11100    36
¤j³D©Ç        800    600    800     800      600    2000  11010    37
U2¥~¬P¤H      800    600    800     800      600    2000  11010    38
¤¤°êÃ¦«Í      800    600   1000    1000      500    2000  10100    39
±m¦â­©ªø      900    800   1200    1200      600    3000  11100    40
Å]­µ¦N¥L¤â   1000    850   1400    1000      650    3000  11001    41
­«ªo³¹³½©Ç   1100    850   1400    1000      650    3000  11001    42
©ÇÀYÃÈ       1200   1000   1300    1500      500    3000  01011    43
¸U¦~¦ÑÀt     1200   1000   1300    1500      500    3000  01011    44
µµÆN©Ç       1200    900   1200    1300      800    3000  10101    45
¦åÆF©Ç       1300    900   1200    1300      800    3000  10101    46
¬rÛ£©Ç       1400    900   1200    1300      800    3000  10101    47
ÅK­±¤H       1500   1200   1100    1800     1200    4000  00011    48
¤j¼L         1600   1000   1300    1800     1100    4000  00110    49
¶¯¿W¨¤Ã~     1650   1000   1300    1800     1100    4000  00110    50
¾uÅ\\§L      1700   1500   1400    1800     1250    4000  10110    51
º²¤Æ§¯       1750   1300   1200    2000     1000    4000  01011    52
®üÆj©Ç       2050   1300   1200    2000     1000    4000  01011    53
Âù´ß©Ç       2150   1300   1200    2000     1000    4000  01011    54
¨Ï®{         2500   2500   1300    2500     2500    5000  10001    55
®J¤Î¤ì¤D¥ì   2750   3000   1400    2500     2000    5000  10110    56
ÁÉ¹p§J¯S     3000   4500   1200    3000     4000    5000  11100    57
¤Q¦r¾÷¾¹¤H   4000   5000   1100    3500     5000    5000  01001    58
­¸¤Ñ¤p§Å®v   4500   5500   1200    4000     6000    6000  01101    59
¬µ³J¶W¤H     5000   6000   1300    4000     6000    6500  00001    60
¥ì¥±§Q¼w     6000   6000   1500    8000     8000    7000  10000    61
°°¤Ú«¢©i¯S   6300   6000   1500    8000     8000    7000  10000    62
ActiveInfo   8000   6000   1500    8000     8000    7000  10000    63
ApplyBM      8000   6000   1500    8000     8000    7000  01000    64
BoardAdm     8000   6000   1500    8000     8000    7000  00100    65
ArtAdm       8000   6000   1500    8000     8000    7000  00010    66
Bulletin     8000   6000   1500    8000     8000    7000  00001    67
SBulletin    8000   6000   1500    8000     8000    7000  10000    68
Ksw          8000   6000   1500    8000     8000    7000  01000    69
visor        8000   6000   1500    8000     8000    7000  00100    70
statue       8000   6000   1500    8000     8000    7000  00010    71
¬õÅK¥¨¤H     8000   9999   2500    9000     9999    9999  00100    72
¯«Às¤b       8000   9999   2500    9000     9999    9999  00010    73
¥vªâ§J´µ     8000   9999   2500    9000     9999    9999  00001    74
¶ø¬ü¥[Å]Ã~   9000   9999   3000    9000     9999    9999  00000    75
Program      9999   9999   4000    9000     9999    9999  00000    76
SYSOP        9999   9999   4000    9000     9999    9999  00000    77
root         9999   9999   4000    9000     9999    9999  00000    78
WindTop     16000  16000  16000   16000    16000   16000  00000    79
